a_legH_hip,a_legH_knee,phase_lag,avg_velocity,max_height,success
0.0,0.0,-3.141592653589793,0.16432839749549857,0.12,True
0.0,0.0,-2.9845130209103035,0.16432839749549857,0.12,True
0.0,0.0,-2.827433388230814,0.16432839749549857,0.12,True
0.0,0.0,-2.670353755551324,0.16432839749549857,0.12,True
0.0,0.0,-2.5132741228718345,0.16432839749549857,0.12,True
0.0,0.0,-2.356194490192345,0.16432839749549857,0.12,True
0.0,0.0,-2.199114857512855,0.16432839749549857,0.12,True
0.0,0.0,-2.0420352248333655,0.16432839749549857,0.12,True
0.0,0.0,-1.8849555921538759,0.16432839749549857,0.12,True
0.0,0.0,-1.7278759594743862,0.16432839749549857,0.12,True
0.0,0.0,-1.5707963267948966,0.16432839749549857,0.12,True
0.0,0.0,-1.413716694115407,0.16432839749549857,0.12,True
0.0,0.0,-1.2566370614359172,0.16432839749549857,0.12,True
0.0,0.0,-1.0995574287564276,0.16432839749549857,0.12,True
0.0,0.0,-0.9424777960769379,0.16432839749549857,0.12,True
0.0,0.0,-0.7853981633974483,0.16432839749549857,0.12,True
0.0,0.0,-0.6283185307179586,0.16432839749549857,0.12,True
0.0,0.0,-0.47123889803846897,0.16432839749549857,0.12,True
0.0,0.0,-0.3141592653589793,0.16432839749549857,0.12,True
0.0,0.0,-0.15707963267948966,0.16432839749549857,0.12,True
0.0,0.0,0.0,0.16432839749549857,0.12,True
0.0,0.0,0.15707963267948966,0.16432839749549857,0.12,True
0.0,0.0,0.3141592653589793,0.16432839749549857,0.12,True
0.0,0.0,0.47123889803846897,0.16432839749549857,0.12,True
0.0,0.0,0.6283185307179586,0.16432839749549857,0.12,True
0.0,0.0,0.7853981633974483,0.16432839749549857,0.12,True
0.0,0.0,0.9424777960769379,0.16432839749549857,0.12,True
0.0,0.0,1.0995574287564276,0.16432839749549857,0.12,True
0.0,0.0,1.2566370614359172,0.16432839749549857,0.12,True
0.0,0.0,1.413716694115407,0.16432839749549857,0.12,True
0.0,0.0,1.5707963267948966,0.16432839749549857,0.12,True
0.0,0.0,1.7278759594743862,0.16432839749549857,0.12,True
0.0,0.0,1.8849555921538759,0.16432839749549857,0.12,True
0.0,0.0,2.0420352248333655,0.16432839749549857,0.12,True
0.0,0.0,2.199114857512855,0.16432839749549857,0.12,True
0.0,0.0,2.356194490192345,0.16432839749549857,0.12,True
0.0,0.0,2.5132741228718345,0.16432839749549857,0.12,True
0.0,0.0,2.670353755551324,0.16432839749549857,0.12,True
0.0,0.0,2.827433388230814,0.16432839749549857,0.12,True
0.0,0.0,2.9845130209103035,0.16432839749549857,0.12,True
0.0,0.0,3.141592653589793,0.16432839749549857,0.12,True
0.0,0.1,-3.141592653589793,0.07592042802047112,0.12,True
0.0,0.1,-2.9845130209103035,0.05304145049078173,0.12,True
0.0,0.1,-2.827433388230814,0.08184346399071712,0.12,True
0.0,0.1,-2.670353755551324,0.08556302373554518,0.12,True
0.0,0.1,-2.5132741228718345,0.06958272713974677,0.12,True
0.0,0.1,-2.356194490192345,0.08684239330750441,0.12,True
0.0,0.1,-2.199114857512855,0.13234792629545938,0.12,True
0.0,0.1,-2.0420352248333655,0.10258733371995152,0.12,True
0.0,0.1,-1.8849555921538759,0.11836576402858574,0.12,True
0.0,0.1,-1.7278759594743862,0.13844640239694744,0.12,True
0.0,0.1,-1.5707963267948966,0.17589725014603802,0.12,True
0.0,0.1,-1.413716694115407,0.15192843248788718,0.12,True
0.0,0.1,-1.2566370614359172,0.13577960872398256,0.12,True
