a_legH_hip,a_legH_knee,phase_lag,avg_velocity,max_height,success
0.0,0.0,-3.141592653589793,0.12611486228084923,0.12,True
0.0,0.0,-2.9845130209103035,0.12611486228084923,0.12,True
0.0,0.0,-2.827433388230814,0.12611486228084923,0.12,True
0.0,0.0,-2.670353755551324,0.12611486228084923,0.12,True
0.0,0.0,-2.5132741228718345,0.12611486228084923,0.12,True
0.0,0.0,-2.356194490192345,0.12611486228084923,0.12,True
0.0,0.0,-2.199114857512855,0.12611486228084923,0.12,True
0.0,0.0,-2.0420352248333655,0.12611486228084923,0.12,True
0.0,0.0,-1.8849555921538759,0.12611486228084923,0.12,True
0.0,0.0,-1.7278759594743862,0.12611486228084923,0.12,True
0.0,0.0,-1.5707963267948966,0.12611486228084923,0.12,True
0.0,0.0,-1.413716694115407,0.12611486228084923,0.12,True
0.0,0.0,-1.2566370614359172,0.12611486228084923,0.12,True
0.0,0.0,-1.0995574287564276,0.12611486228084923,0.12,True
0.0,0.0,-0.9424777960769379,0.12611486228084923,0.12,True
0.0,0.0,-0.7853981633974483,0.12611486228084923,0.12,True
0.0,0.0,-0.6283185307179586,0.12611486228084923,0.12,True
0.0,0.0,-0.47123889803846897,0.12611486228084923,0.12,True
0.0,0.0,-0.3141592653589793,0.12611486228084923,0.12,True
0.0,0.0,-0.15707963267948966,0.12611486228084923,0.12,True
0.0,0.0,0.0,0.12611486228084923,0.12,True
0.0,0.0,0.15707963267948966,0.12611486228084923,0.12,True
0.0,0.0,0.3141592653589793,0.12611486228084923,0.12,True
0.0,0.0,0.47123889803846897,0.12611486228084923,0.12,True
0.0,0.0,0.6283185307179586,0.12611486228084923,0.12,True
0.0,0.0,0.7853981633974483,0.12611486228084923,0.12,True
0.0,0.0,0.9424777960769379,0.12611486228084923,0.12,True
0.0,0.0,1.0995574287564276,0.12611486228084923,0.12,True
0.0,0.0,1.2566370614359172,0.12611486228084923,0.12,True
0.0,0.0,1.413716694115407,0.12611486228084923,0.12,True
0.0,0.0,1.5707963267948966,0.12611486228084923,0.12,True
0.0,0.0,1.7278759594743862,0.12611486228084923,0.12,True
0.0,0.0,1.8849555921538759,0.12611486228084923,0.12,True
0.0,0.0,2.0420352248333655,0.12611486228084923,0.12,True
0.0,0.0,2.199114857512855,0.12611486228084923,0.12,True
0.0,0.0,2.356194490192345,0.12611486228084923,0.12,True
0.0,0.0,2.5132741228718345,0.12611486228084923,0.12,True
0.0,0.0,2.670353755551324,0.12611486228084923,0.12,True
0.0,0.0,2.827433388230814,0.12611486228084923,0.12,True
0.0,0.0,2.9845130209103035,0.12611486228084923,0.12,True
0.0,0.0,3.141592653589793,0.12611486228084923,0.12,True
