step,sim_time,real_time,base_x,base_y,base_z,base_pitch,front_joint_pos,front_joint_vel,front_joint_torque,back_joint_pos,back_joint_vel,back_joint_torque,fore_leg_pos,fore_leg_vel,fore_leg_torque,hind_leg_pos,hind_leg_vel,hind_leg_torque,fore_leg_2_joint_pos,fore_leg_2_joint_vel,fore_leg_2_joint_torque,fore_leg_3_joint_pos,fore_leg_3_joint_vel,fore_leg_3_joint_torque,hind_leg_2_joint_pos,hind_leg_2_joint_vel,hind_leg_2_joint_torque,hind_leg_3_joint_pos,hind_leg_3_joint_vel,hind_leg_3_joint_torque
0,0.0,0.0,-0.2,0.0,0.23,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.32798452253189603,0.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,-10.0,0.0,0.0,-10.0
1,0.000833,0.026990175247192383,-0.2,0.0,0.23,0.0,0.009440785559727815,11.333476062098217,1.161796600412436,0.009434038309172568,11.325376121455665,1.169968415513526,-0.000243645070299342,-0.292491080791527,0.6292496707257306,-0.010069234468369083,-12.087916528654361,-9.214077775363965,-0.01029597710179304,-12.36011656877916,-10.0,-0.010810803270609652,-12.978155186806305,-10.0,-0.010981562028809783,-13.1831476936492,-10.0,-0.010587826883152693,-12.710476450363378,-10.0
2,0.001666,0.026990175247192383,-0.20000167818933323,8.435200501674996e-08,0.23010822626751634,1.4756043869197147e-06,0.019809380831911867,12.44729324391843,0.033978013139083885,0.019800980222533984,12.44530841940146,0.03605118554864045,-6.581735610953525e-05,0.21347864848716297,0.1278392810044567,-0.029717704933250086,-23.587599597696283,2.3294027494340943,-0.031105766712975193,-24.98174022951039,-1.1642304950649227,-0.03235285675829484,-25.86080850862568,-0.27297534449389227,-0.032764393212113566,-26.149857362909703,-10.0,-0.03181417665791677,-25.48181245469877,-10.0
3,0.002499,0.026990175247192383,-0.2000044944301276,1.6904057631912573e-07,0.23022015518018563,3.246921006844489e-06,0.030219153480464223,12.496725868610271,-1.263411669629802,0.030387061386130912,12.708380748615761,-1.4767528520601423,0.000217330470948028,0.3399133578122008,0.45086389972773655,-0.04710476127662332,-20.872816738743385,1.7060008410032548,-0.05313735689805549,-26.448487617143215,3.0790157486069982,-0.054194197267244684,-26.220096649399576,2.8615934424067433,-0.06509946256676113,-38.81761026968497,0.4950281328797068,-0.06374919228384118,-38.337353692586326,0.0012570835801293256
4,0.003332,0.026990175247192383,-0.20000193377971323,2.4503095431472937e-07,0.2303258710232425,-8.940441776473288e-05,0.039419254638636866,11.044539205489365,0.18645852917807992,0.03958718152355481,11.044561989704563,0.18474919259133987,0.0010217222236063059,0.9656563657362279,-0.17658540902355924,-0.0627764911461246,-18.81360128391511,-0.3491845640226825,-0.07481563082357058,-26.02433844599651,2.6858891129727995,-0.07570406456274495,-25.82216962244931,2.4930082320351996,-0.09685152650335345,-38.11772381343615,-0.19055635387189795,-0.09569792882288378,-38.35382537700191,0.03399736431247624
5,0.004165,0.026990175247192383,-0.1999979310488069,2.999860930123525e-07,0.2304081120969266,-0.0002351206643924744,0.04881071749341064,11.274265131781243,-0.047497478392835135,0.048962391579092004,11.254753968231931,-0.029510399376876384,0.0016422082787840042,0.7448812187007181,0.04432249415948776,-0.0788044325114507,-19.241226128842843,0.08603244566563939,-0.09615195906484364,-25.613839425297797,2.3029931709441738,-0.09689278002036918,-25.43663320243005,2.1336021102159015,-0.12881491641194925,-38.37141645689772,0.07955151880692135,-0.1276080566277495,-38.30747635638139,0.003530852666951745
6,0.004998000000000001,0.026990175247192383,-0.1999944486272002,3.4593207733857934e-07,0.2304848185500649,-0.00037336764292418177,0.058161792055568214,11.225779786503685,-0.012624121622405615,0.05831408937856305,11.226527970553477,-0.014902685438369312,0.0023148337154012245,0.8074735133460026,-0.015804971811624356,-0.09474281853181044,-19.13371671111614,0.0012095729184197213,-0.11715791673554167,-25.217236099277347,1.9509710227056904,-0.11776946224773059,-25.062043490229787,1.802303901958632,-0.1606917994010545,-38.26756661357171,0.018027047589807887,-0.1595146251707703,-38.303203533038214,0.04188018122430259
7,0.005831000000000001,0.026990175247192383,-0.19999101754264942,3.8098336327120426e-07,0.2305534023144779,-0.000507878226332243,0.06750834253097163,11.220348709968093,-0.020779411391506297,0.06765478899797953,11.213324873249068,-0.015227508743891172,0.002976641383386748,0.794486996381181,-0.00023972782404194093,-0.11067996767628079,-19.132231866110864,0.022430960937399158,-0.13784310059337374,-24.8321534907948,1.6073025150729563,-0.1383415039730097,-24.69632860177564,1.476874773088334,-0.19254882495370781,-38.243728154445776,0.03636906546263585,-0.19137640474045964,-38.249435257730276,0.03033984738499118
8,0.0066640000000000015,0.026990175247192383,-0.19998773883787177,4.051554442247196e-07,0.23061416212479385,-0.0006406723716809193,0.07684175479273188,11.204576544730191,-1.195582136607571,0.07698466124060223,11.200326821876,-1.1927693359402154,0.00364387489656809,0.8010006160640357,0.33901085735465314,-0.1265937976472145,-19.104237660184562,1.9403180162550617,-0.15821637515073456,-24.457712553854517,3.710828376390454,-0.15861591684266996,-24.339031056014722,3.596526399115801,-0.224366065901312,-38.19596752413467,3.251146329117418,-0.22320575412144,-38.21050345855985,3.2540697724777212
9,0.007497000000000002,0.026990175247192383,-0.19998458519938728,4.18260106339898e-07,0.2306670550945746,-0.000771148800799429,0.0850297564649709,9.82953382021491,0.17745970963466062,0.08520937678184394,9.87360809272714,0.13158131338046153,0.004715456803586053,1.2864128535629813,-0.14792039551185598,-0.14053368111233455,-16.734553979735928,-0.42663208796282026,-0.1781590263126188,-23.94075769734001,3.227862293766284,-0.17846907586413394,-23.83332415541895,3.1239164310657257,-0.25470347923460507,-36.419463785465894,1.5016269452537978,-0.2535583781332532,-36.43772390373736,1.5084266035450944
