base_time,base_x,joint_time,target_pos_0,actual_pos_0,actual_vel_0,target_pos_1,actual_pos_1,actual_vel_1,target_pos_2,actual_pos_2,actual_vel_2,target_pos_3,actual_pos_3,actual_vel_3,target_pos_4,actual_pos_4,actual_vel_4,target_pos_5,actual_pos_5,actual_vel_5,target_pos_6,actual_pos_6,actual_vel_6,torque_time,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,contact_time,contact_fx,contact_fy,contact_fz,contact_magnitude
0.0,0.0,0.0,0.0,0.0,0.0,-0.11079101853620776,-0.5,0.0,-1.5782172325201154,-1.2,0.0,-1.5782172325201154,-1.2,0.0,-0.85,-0.5,0.0,-1.0,-1.2,0.0,-1.0,-1.2,0.0,0.0,-0.75,0.5,0.17443986541476275,0.17443986541476275,-0.5,0.3999999999999999,0.3999999999999999,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.005,-0.04705415665925716,-0.03843432096506421,-8.679451237494181,-0.026511467576382,-0.4172916272244631,21.36252470058814,-1.5313952597646567,-1.1891574535076996,1.8091378018234923,-1.5313952597646567,-1.1913139153455607,2.8186549375464134,-0.8735270783296285,-0.5481028556090995,-9.715963201510386,-1.0,-1.1810009529561978,5.322787864503798,-1.0,-1.1782604683619649,5.855577843961617,0.001,-0.3318500744450217,0.5,-0.27695158767758304,-0.10986913286449662,-0.5,-0.12009713830074087,-0.424375757509052,0.001,0.0,0.0,0.0,0.0
0.002,-2.8128832479486194e-06,0.010000000000000002,-0.09369065729286233,-0.08199747162015697,-8.399919600509461,0.05826968317031553,-0.30349593073087544,22.180021468383462,-1.4842946204609357,-1.1767901600170068,2.980826071401003,-1.4842946204609357,-1.1797288682034404,1.9475476502917815,-0.8968453286464312,-0.5997813508596423,-10.268414163243857,-1.0,-1.1657401636171667,2.085053866902259,-1.0,-1.1637267069955128,1.7868123966249123,0.002,-0.16780124100376637,0.5,0.12313923613384459,0.1534647817270296,0.03384901244585348,0.27598863611856483,0.346598724436761,0.002,0.0,0.0,0.0,0.0
0.003,-4.079692905437938e-06,0.015000000000000006,-0.1394955530196147,-0.12569727788698964,-8.456787380937836,0.14279991020787397,-0.19286135253597725,21.306604502756667,-1.4373333832178479,-1.161671886137968,3.1877052362623193,-1.4373333832178479,-1.1636645104588084,3.611630213744287,-0.9197477765098073,-0.6403761939870596,-6.703642694161812,-1.0,-1.1495968645129446,3.3490726395277397,-1.0,-1.1479743144895067,3.710927724514791,0.003,-0.05830441982105853,0.5,-0.18232859559597658,-0.10112138501252976,-0.12651721062189503,-0.21400203054567557,-0.2890950553796401,0.003,0.0,0.0,0.0,0.0
0.004,1.2905248468556338e-06,0.02000000000000001,-0.18406227634233907,-0.16853746726531788,-8.26203098760831,0.2263289172568885,-0.08496393143760415,20.92606742981778,-1.3909283793017286,-1.1437743655871881,3.835654250590008,-1.3909283793017286,-1.1459324013295493,3.399685853544624,-0.9420311381711695,-0.6672622843323865,-4.659802563438802,-1.0,-1.135991761397655,2.4656499627771704,-1.0,-1.1352302634621831,2.0634020191021056,0.004,-0.09432078773356371,-0.06580805188491523,0.07746999117229458,0.13419143756164187,0.030667999796549328,0.21627933979274605,0.2835754279412023,0.004,0.0,0.0,0.0,0.0
0.005,1.4203352426056311e-05,0.025000000000000015,-0.2269952498697735,-0.2101827544820949,-8.049455205741056,0.30811529493745293,0.019250821170072516,20.11285058016435,-1.3454915028125263,-1.124163074142265,4.051123983419591,-1.3454915028125263,-1.125838309798424,4.155467799903107,-0.9634976249348868,-0.6867274567684706,-3.4328516202793837,-1.0,-1.1233152651042848,2.5219867679290364,-1.0,-1.1226241641796124,2.6567412931668763,0.005,-0.08758959389610504,0.3384203058202655,0.07522863873869068,-0.021410151157879143,-0.148399648418588,-0.1702768805379843,-0.2290368476722321,0.005,0.0,0.0,0.0,0.0
0.006,2.429997260656557e-05,0.03000000000000002,-0.26791339748949844,-0.2502546362775247,-7.734584141017595,0.38743310157130284,0.11953236584060595,19.39863123525953,-1.3014260546826095,-1.1032603148456506,4.296325654695141,-1.3014260546826095,-1.10486124009524,4.0999155532049745,-0.9839566987447492,-0.701070000187124,-2.529921062650415,-1.0,-1.1120391688865263,2.1208700148286757,-1.0,-1.11173920637407,1.961372540025112,0.006,-0.0642966139655549,-0.048656931534151626,-0.09114734842637695,0.04956006888536868,0.032887459419901566,0.18761952802628723,0.22421739091199325,0.006,0.0,0.0,0.0,0.0
0.007,3.724293289014349e-05,0.035000000000000024,-0.3064535268264884,-0.2884034381904243,-7.365562883473944,0.46357830669154415,0.21522050125581316,18.46932248567666,-1.2591231629491422,-1.0817750429587316,4.345621607846797,-1.2591231629491422,-1.0830646202528187,4.361159298507245,-1.0032267634132441,-0.7116424288503059,-1.8652880314397817,-1.0,-1.1016877443002335,2.020320665584859,-1.0,-1.1014966808629427,2.0498034099477875,0.007,-0.012622413308263098,0.17359069972198782,0.1130530842708799,-0.03561422182646423,-0.09925481509171818,-0.1494306530391744,-0.17503843636088146,0.007,0.0,0.0,0.0,0.0
0.008,4.850481063430997e-05,0.04000000000000003,-0.34227355296434453,-0.3242590647213298,-6.916144563275221,0.535875040066918,0.30589530111266405,17.508932496140147,-1.2189583110739344,-1.060221213016011,4.3222069523201725,-1.2189583110739344,-1.0613519299833714,4.23921449401466,-1.0211367764821722,-0.719439590497156,-1.3759606591556623,-1.0,-1.0923666731703363,1.7770208349174814,-1.0,-1.0923809740504524,1.7082312841828122,0.008,-0.03406706746586316,0.010681099638396141,-0.0845188640142408,0.04852923823302968,0.021276285288783336,0.15130088076513193,0.1828004679554724,0.008,0.0,0.0,0.0,0.0
0.009000000000000001,6.0395571640896e-05,0.04500000000000003,-0.37505553481522996,-0.3574940671519742,-6.407981979294511,0.6036815907738212,0.39101291242485187,16.41285799470499,-1.181288005125655,-1.0391594974170961,4.1757234689391245,-1.181288005125655,-1.0400441220816121,4.185571187480378,-1.0375277674076149,-0.7251932805476554,-1.0155784829594183,-1.0,-1.0838627087739283,1.6461388554779615,-1.0,-1.083974801862794,1.6443203971349634,0.009000000000000001,-0.018416247988042006,0.13507023265973267,0.09749629781479341,-0.031494765950094816,-0.08255439796449104,-0.11945606094102168,-0.13776281218940467,0.009000000000000001,0.0,0.0,0.0,0.0
0.010000000000000002,7.156901616002543e-05,0.05000000000000004,-0.4045084971874739,-0.3877908194720847,-5.835000206990807,0.6663961030678932,0.4701307143752761,15.24819294940232,-1.146446609406726,-1.0190758035433571,3.9405248373531383,-1.146446609406726,-1.0197728114279472,3.926861067326314,-1.052254248593737,-0.7294418759879057,-0.7500697823101892,-1.0,-1.0761653762634213,1.4752255902447293,-1.0,-1.0764000645776297,1.4413273803609958,0.010000000000000002,-0.10917833447571373,0.20115201328431986,0.02892121214997756,0.13812647063376682,-0.030178500839816436,0.12297494054410749,0.14877217432853443,0.010000000000000002,0.0,0.0,0.0,0.0
0.011000000000000003,8.296104934810643e-05,0.05500000000000004,-0.43037101350197204,-0.4148658237748974,-5.208653789545526,0.7234619184982107,0.5427859935322995,13.983132524595446,-1.114743378612105,-1.0004367763024626,3.6121302161954687,-1.114743378612105,-1.00091472585377,3.6472442358763937,-1.065185506750986,-0.7325814943274784,-0.5543665753695844,-1.0,-1.069159564605026,1.3509766613385954,-1.0,-1.0694731529893025,1.3416610230851522,0.011000000000000003,-0.04206984375554652,0.03854275917620775,-0.03032753162901669,-0.09607593218772492,-0.06366687984978425,-0.07949085766232333,-0.1154820800062144,0.011000000000000003,0.0,0.0,0.0,0.0
0.012000000000000004,9.571305167683173e-05,0.060000000000000046,-0.45241352623300995,-0.4384203760098859,-4.524516569076523,0.7743725168471061,0.6085397005479076,12.654002395157049,-1.086459712862719,-0.986043722553991,2.405646708712037,-1.086459712862719,-0.9862522385871993,2.4507532097890548,-1.0762067631165049,-0.7349029326221036,-0.4097989197039548,-1.0,-1.0628058737767052,1.2192590917814985,-1.0,-1.0631982235646307,1.2015632558226963,0.012000000000000004,-0.01588920567203793,0.10446424905598384,0.05908993815875441,0.10451244590090425,-0.1381373805983524,0.06481944103908377,0.1358133860960072,0.012000000000000004,0.0,0.0,0.0,0.0
0.013000000000000005,0.00010896705701317664,0.06500000000000004,-0.4704403844771129,-0.45829562801246637,-3.81001175933148,0.8186760120394777,0.6670935095760501,11.270080267129993,-1.061846659978068,-0.9763867484087695,1.6805804292946775,-1.061846659978068,-0.9763800644723094,1.7244424292857072,-1.0852201922385565,-0.7366210737967854,-0.3033131905369778,-1.0,-1.057027416658605,1.1105601721136302,-1.0,-1.05748050904966,1.103362719590773,0.013000000000000005,-0.017554176260699994,0.06230739040437461,-0.02890642293295731,-0.0751946701508518,-0.20203851419997476,-0.05287599119910524,-0.09360318612605267,0.013000000000000005,0.0,0.0,0.0,0.0
0.014000000000000005,0.0001228415241868194,0.07000000000000005,-0.48429158056431565,-0.47428724009195183,-3.0540345307044885,0.8559791631155834,0.7180972802018928,9.819254627163982,-1.0411226871580093,-0.9694892701721485,1.2181879255182793,-1.0411226871580093,-0.9692654642594702,1.2624126195755816,-1.0921457902821579,-0.7378948254215764,-0.22477325461538492,-1.0,-1.0517790194938383,1.00525404900122,-1.0,-1.0522915777241169,0.9969491783832664,0.014000000000000005,-0.019553164886418353,0.08644590523634099,0.053249199158126426,0.08649431613502045,-0.2575944956251743,0.046862593239813954,0.11361101543447968,0.014000000000000005,0.0,0.0,0.0,0.0
0.015000000000000006,0.00013725528180388985,0.07500000000000005,-0.49384417029756894,-0.4862257841705446,-2.266131050470648,0.8859508646656385,0.761261663913342,8.31302725894777,-1.0244717418524232,-0.9645957668114921,0.8517576335949467,-1.0244717418524232,-0.9641693918781951,0.8914461878180417,-1.0969220851487844,-0.7388406523918397,-0.16674209931901662,-1.0,-1.047007718717085,0.9131112627176344,-1.0,-1.0475700002326414,0.9105232534672398,0.015000000000000006,-0.0869732886348715,0.22374501408275305,0.06495255936440703,0.026545310257890864,-0.34090663386101683,-0.03571353492688473,-0.07514414347246573,0.015000000000000006,0.0,0.0,0.0,0.0
0.016000000000000007,0.00015195501218341718,0.08000000000000006,-0.49901336421413583,-0.49398428046426207,-1.4541004271597187,0.9083250857448729,0.7963575765597459,6.762763472424732,-1.0120416190306263,-0.9614538848991436,0.5134590465814506,-1.0120416190306263,-0.9608639253948156,0.5440635491649527,-1.0995066821070678,-0.7395441440396947,-0.12379998859766096,-1.0,-1.0426727073525568,0.8270729171672644,-1.0,-1.0432807425773787,0.8260397767379506,0.016000000000000007,-0.03854041611229473,0.007448603565953338,-0.05440341428519313,0.008830476027017142,-0.38029283908621925,0.04249301325962518,0.09076146078707395,0.016000000000000007,0.0,0.0,0.0,0.0
0.017000000000000008,0.0001692576418691278,0.08500000000000006,-0.49975328018286574,-0.4974765888586671,-0.6260327580377003,0.9229032311830302,0.8232156120210947,5.179789223486217,-1.003942649342761,-0.9600104405647183,0.177319911526365,-1.003942649342761,-0.9593141778316143,0.19575040083651843,-1.0998766400914328,-0.7400683286615676,-0.09198061111509027,-1.0,-1.0387324065900272,0.7500767836644574,-1.0,-1.0393797754681413,0.7528764654700035,0.017000000000000008,-0.01783061869484074,0.12852653726117508,0.08427998576769113,0.01312923345605388,-0.4141348752743223,-0.02730995102519318,-0.05770287960780518,0.017000000000000008,0.0,0.0,0.0,0.0
0.01800000000000001,0.00018554732371165526,0.09000000000000007,-0.4960573506572388,-0.4966556361558543,0.21005661256759406,0.9295559043291585,0.8417265684281902,3.575869308201611,-1.000246719817134,-0.9603727582870148,-0.17610484100441587,-1.000246719817134,-0.9595491260028952,-0.1605788588045986,-1.0980286753286195,-0.7404596624887668,-0.06837110587257601,-1.0,-1.0351516959984544,0.6792707712313208,-1.0,-1.0358342451332583,0.6843450851892876,0.01800000000000001,-0.02249361679628851,0.03693079161262991,-0.04734082567785969,0.01212793130900136,-0.4436407703088375,0.031104805042185213,0.07691156624238776,0.01800000000000001,0.0,0.0,0.0,0.0
0.01900000000000001,0.0002026363314581876,0.09500000000000007,-0.48795838096937355,-0.4914975255102179,1.0394993024125234,0.9282240555854443,0.8518259572627743,1.9635104351756612,-1.0009866357858643,-0.9651570470517961,-0.8563530553728518,-1.0009866357858643,-0.9630478279155553,-0.6998612438381595,-1.0939791904846867,-0.7407516421772401,-0.05076881320229556,-1.0,-1.0318981347720644,0.6156750890914144,-1.0,-1.0326094267492179,0.6231185341525324,0.01900000000000001,-0.019831155547487316,0.1063965867383404,0.07269613608426262,0.011076036931278899,-0.4692229106509798,-0.01847825212981985,-0.04546411064924516,0.01900000000000001,0.0,0.0,0.0,0.0
0.02000000000000001,0.00021924743443849293,0.10000000000000007,-0.4755282581475766,-0.48994576564240955,-0.025975849505370133,0.9189195065356238,0.8546106955189406,0.6362213965155084,-1.0061558297024313,-0.9735273089214206,-1.4396666841672996,-1.0061558297024313,-0.970510074646131,-1.3070101612943994,-1.0877641290737883,-0.7418068207188826,-0.33686662057747496,-1.0,-1.027623460035016,0.8296063812274856,-1.0,-1.0346861388934316,-0.08424826822032716,0.02000000000000001,-0.08114021265733073,0.18558273651103735,0.04190642645849063,0.0898193376477513,-0.5,0.025418526517592743,0.06412032501415571,0.02000000000000001,0.0,0.0,0.0,0.0
0.02100000000000001,0.00023621687169112196,0.10500000000000008,-0.4588773128419903,-0.4830102887813018,1.7109250853530098,0.9017248450157677,0.8491214469888584,-1.059868924204982,-1.0157084194356847,-0.9865011583833722,-2.0999728771594826,-1.0157084194356847,-0.9815091419922479,-1.8541315674195964,-1.079438656420995,-0.7438903354301042,-0.4385520728698641,-1.0,-1.0239730123596662,0.7194650904535426,-1.0,-1.035822213445354,0.006212639881119586,0.02100000000000001,-0.03661288029612435,0.03097402744920641,-0.028271836027644326,-0.046586708980036806,-0.5,-0.007664982852018609,-0.03815056718978821,0.02100000000000001,0.0,0.0,0.0,0.0
0.022000000000000013,0.0002548879626660843,0.11000000000000008,-0.43815334002193146,-0.46828203271704677,3.2038793082794212,0.8767926920588025,0.8349553758146713,-2.7375829151764672,-1.0295596155228874,-1.0024019187347284,-2.523392653600843,-1.0295596155228874,-0.9966112804283599,-2.577225929942746,-1.0690766700109657,-0.745519335662088,-0.24678323299547086,-1.0,-1.0208922604856696,0.49936712335523975,-1.0,-1.0350889267459316,0.25344826248600366,0.022000000000000013,-0.02101744682638891,0.10467673870874317,0.06341706896784971,0.06710845606184657,-0.5,0.019066845911629438,0.055045264260422694,0.022000000000000013,0.0,0.0,0.0,0.0
0.023000000000000013,0.00027268887964101426,0.11500000000000009,-0.4135402871372805,-0.44698510667850383,4.333730321801224,0.8443443472194171,0.8122749994324467,-4.673072914560224,-1.0475864737669904,-1.0205458891419863,-4.1905657677582795,-1.0475864737669904,-1.0147736899696587,-3.9492000989417617,-1.0567701435686403,-0.745816413253245,0.049627402817696654,-1.0,-1.0182837324917648,0.46841881627366116,-1.0,-1.0331822899468766,0.3926160086317387,0.023000000000000013,-0.02103930891373898,0.053428177553682565,-0.026096147714776363,-0.03404222496500803,-0.5,-0.007781659127159002,-0.027657976093706516,0.023000000000000013,0.0,0.0,0.0,0.0
0.024000000000000014,0.00029076973547502444,0.12000000000000009,-0.38525662138789407,-0.4394368326460572,-0.1731863674459556,0.8046678243035486,0.824182782300956,6.525951571917349,-1.0696289864980286,-1.0598311676011913,-8.175414664619503,-1.0696289864980286,-1.0308981130359716,-3.229543257098169,-1.0426283106939471,-0.7449860851804407,0.13903890790018086,-1.0,-1.0144940297891902,1.0378759502522468,-1.0,-1.032723120935201,-0.7045245765066488,0.024000000000000014,-0.021911422609338954,0.08764790706402065,0.05661706019979795,0.05627837814873404,-0.5,0.0171177880896419,0.04576060632727569,0.024000000000000014,0.0,0.0,0.0,0.0
0.025000000000000015,0.0003084643696913493,0.12500000000000008,-0.3535533905932732,-0.43501158896434144,0.9293169353632709,0.7581152949374519,0.8524139237059256,4.230507388622506,-1.0954915028125267,-1.0991582772262165,-7.234614335079619,-1.0954915028125267,-1.0517178908963953,-4.301294300727214,-1.0267766952966366,-0.744924613253669,-0.09330093394447185,-1.0,-1.0054533536540744,2.0000386429786614,-1.0,-1.0365701162307956,-0.5672401723240941,0.025000000000000015,-0.06843333540847746,0.17987325847876606,0.048580393739985184,0.041496483403951345,-0.5,-0.005568146584334022,-0.020425800957462825,0.025000000000000015,0.0,0.0,0.0,0.0
0.026000000000000016,0.000326165476012354,0.1300000000000001,-0.31871199487434426,-0.42694889119864776,1.475061879127453,0.7050999626674127,0.8644135767065212,1.1040476692131784,-1.1249444651847709,-1.1399476579775893,-8.291653632356335,-1.1249444651847709,-1.0761408348133705,-4.895017478346915,-1.0093559974371722,-0.7459362381341242,-0.27565461647274403,-1.0,-0.9950602077453409,1.786047200620566,-1.0,-1.043308642680662,-1.9029162310173378,0.026000000000000016,-0.03634384790111045,0.023669841238471268,-0.02867689033564147,-0.0014202440940189742,-0.5,0.019176051096157692,0.0360228915550877,0.026000000000000016,0.0,0.0,0.0,0.0
