base_time,base_x,joint_time,target_pos_0,actual_pos_0,actual_vel_0,target_pos_1,actual_pos_1,actual_vel_1,target_pos_2,actual_pos_2,actual_vel_2,target_pos_3,actual_pos_3,actual_vel_3,target_pos_4,actual_pos_4,actual_vel_4,target_pos_5,actual_pos_5,actual_vel_5,target_pos_6,actual_pos_6,actual_vel_6,torque_time,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,contact_time,contact_fx,contact_fy,contact_fz,contact_magnitude
0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,-1.2,-1.2,0.0,-1.2,-1.2,0.0,-0.5,-0.5,0.0,-1.2,-1.2,0.0,-1.2,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.005,0.0,-5.115323311290541e-19,-1.705219082083929e-16,-0.5,-0.5,-1.7835372191218862e-17,-1.2,-1.2,3.557007652012437e-17,-1.2,-1.2,-3.56536947568955e-18,-0.5,-0.5,1.2368369418377849e-17,-1.2,-1.2,-5.2836997179917195e-18,-1.2,-1.2,7.976751781206662e-18,0.001,1.15935028451513e-17,2.3308050303852344e-18,-2.499781494796156e-18,7.14339474826815e-19,-6.907041985329273e-19,6.969314956973913e-19,-7.94304378901774e-19,0.001,0.0,0.0,0.0,0.0
0.002,-3.549217353388236e-23,0.010000000000000002,0.0,-8.241335671803583e-19,-5.682254792573015e-17,-0.5,-0.5,3.3732041857595957e-18,-1.2,-1.2,-1.4103505384903615e-17,-1.2,-1.2,-4.472531590723249e-18,-0.5,-0.5,-1.8817067957262405e-17,-1.2,-1.2,1.8897838399228266e-18,-1.2,-1.2,-3.594848669036659e-18,0.002,3.125486412949077e-18,-7.033623560384643e-19,1.4167914983082654e-18,1.7890126362893005e-19,1.6053340012026163e-18,-5.374441318409782e-19,5.345924514295215e-19,0.002,0.0,0.0,0.0,0.0
0.003,-4.732289804517648e-23,0.015000000000000006,0.0,-1.023031268761984e-18,-2.842588361741964e-17,-0.5,-0.5,8.917686095609434e-18,-1.2,-1.2,-1.067961090246116e-17,-1.2,-1.2,-3.5463857803559765e-18,-0.5,-0.5,-1.773050416529055e-17,-1.2,-1.2,5.306385118096238e-18,-1.2,-1.2,-2.6561082610531495e-18,0.003,1.4777519048515483e-17,1.9683532827835477e-18,-3.2060302573443216e-18,5.35438211197885e-19,-1.1414062541253814e-18,5.238328917782691e-19,-8.848076204812326e-19,0.003,0.0,0.0,0.0,0.0
0.004,-7.098434706776472e-23,0.02000000000000001,0.0,-1.2788391761966668e-18,-1.2522561046791094e-20,-0.5,-0.5,1.2542203571626298e-17,-1.2,-1.2,-3.6171232769795025e-18,-1.2,-1.2,-8.691947243665525e-19,-0.5,-0.5,-1.677619728816652e-17,-1.2,-1.2,7.03737115728746e-18,-1.2,-1.2,-1.7510758452585633e-18,0.004,6.366362731922128e-18,-5.329070518200757e-19,2.1316282072803e-18,3.552713678800501e-19,1.77635683940025e-18,-3.5527136788005025e-19,4.440892098500629e-19,0.004,0.0,0.0,0.0,0.0
0.005,-7.098434706776473e-23,0.025000000000000015,0.0,-1.5915155476142513e-18,2.841753524338839e-17,-0.5,-0.5,8.917686095609434e-18,-1.2,-1.2,1.0636671170341849e-17,-1.2,-1.2,6.3278984445252735e-21,-0.5,-0.5,-1.0625076807689556e-17,-1.2,-1.2,5.3063851180962386e-18,-1.2,-1.2,1.784783837447476e-18,0.005,1.80752554830974e-17,1.783537219121886e-18,-3.557007652012437e-18,3.5653694756895503e-19,-1.236836941837785e-18,5.28369971799172e-19,-7.976751781206662e-19,0.005,0.0,0.0,0.0,0.0
0.006,-8.281507157905884e-23,0.03000000000000002,0.0,-1.9609768992744254e-18,-1.4209602459097334e-16,-0.5,-0.5,-1.96476309292273e-17,-1.2,-1.2,3.2038832707383557e-17,-1.2,-1.2,-3.571697374134073e-18,-0.5,-0.5,1.3223483609366004e-17,-1.2,-1.2,-3.484657478486954e-18,-1.2,-1.2,7.968324783159427e-18,0.006,9.720959282112919e-18,-5.400874315417119e-19,2.1359221804922352e-18,5.316414721311703e-19,1.858561835627872e-18,-1.7309860391912232e-19,5.312216522106293e-19,0.006,0.0,0.0,0.0,0.0
0.007,-7.098434706776474e-23,0.035000000000000024,0.0,-2.245279564412285e-18,-8.527347666524322e-17,-0.5,-0.5,-3.1902619311988146e-17,-1.2,-1.2,1.416791498308268e-17,-1.2,-1.2,-9.757306819812328e-18,-0.5,-0.5,6.2833773953247825e-18,-1.2,-1.2,-1.247986867601078e-17,-1.2,-1.2,9.050324157945808e-19,0.007,1.1944631497397769e-18,-1.2506301673018121e-18,-1.0615201304282163e-18,-1.2655796889049007e-21,1.059201257897759e-18,-7.060056557391975e-19,-1.7932108354947093e-19,0.007,0.0,0.0,0.0,0.0
0.008,-5.915362255647063e-23,0.04000000000000003,0.0,-2.3874945533332023e-18,-5.685802851536257e-17,-0.5,-0.5,-2.296698226707462e-17,-1.2,-1.2,1.7688423862793666e-17,-1.2,-1.2,-6.1951012933450395e-18,-0.5,-0.5,9.885687417193216e-18,-1.2,-1.2,-5.40846941856655e-18,-1.2,-1.2,7.134921850766304e-18,0.008,4.090513838859923e-18,2.5048505244644413e-18,-7.212776687899387e-19,6.248888430123499e-19,8.158926920860899e-19,1.6629298388776745e-19,4.213499023615862e-21,0.008,0.0,0.0,0.0,0.0
0.009000000000000001,-8.873043383470593e-23,0.04500000000000003,0.0,-2.5866009642656075e-18,-2.845719002003646e-17,-0.5,-0.5,3.857879816970042e-18,-1.2,-1.2,-1.794606225550972e-17,-1.2,-1.2,-6.1634618011224185e-18,-0.5,-0.5,-1.9258879289351143e-17,-1.2,-1.2,1.5835309385118781e-18,-1.2,-1.2,-3.481084195399044e-18,0.009000000000000001,1.574422449760659e-17,1.7871274089827048e-18,-2.4933405349782542e-18,3.571697374134075e-19,-1.055894835026564e-18,3.484657478486955e-19,-7.080146363459307e-19,0.009000000000000001,0.0,0.0,0.0,0.0
